Date,Open,High,Low,Close,Volume
2023-01-01,244.13697814941406,246.48580932617188,243.57528686523438,246.33290100097656,278651737
2023-01-08,245.53590393066406,274.38507080078125,241.69248962402344,261.2529296875,2948384482
2023-01-15,272.7015380859375,314.00335693359375,271.14984130859375,305.3287353515625,4588394506
2023-01-22,298.9992370605469,310.6024169921875,282.63104248046875,299.2391052246094,4404165125
2023-01-29,305.50408935546875,322.7462158203125,294.71466064453125,306.2362976074219,4201126990
2023-02-05,307.0688781738281,337.3205261230469,303.58074951171875,330.5582580566406,4609630478
2023-02-12,324.6271667480469,334.7283935546875,303.0165710449219,310.6056213378906,3699763118
2023-02-19,294.475341796875,326.6348876953125,283.6963806152344,316.6196594238281,5380453763
2023-02-26,315.37744140625,319.30078125,297.22412109375,302.3690185546875,3380537910
2023-03-05,304.8558044433594,309.325439453125,286.61907958984375,289.5206298828125,2518030903
2023-03-12,288.0549621582031,293.6416320800781,265.7124328613281,277.94403076171875,3255146165
2023-03-19,308.9122009277344,346.44512939453125,287.5561828613281,331.5301818847656,6391822262
2023-03-26,332.9230041503906,339.79803466796875,317.6002502441406,322.6365051269531,4419820979
2023-04-02,310.9491271972656,329.33050537109375,306.4544372558594,314.94207763671875,3537264327
2023-04-09,308.5623779296875,316.3108215332031,300.5087585449219,310.6590576171875,3806594557
2023-04-16,318.3790588378906,349.9566345214844,311.8117980957031,333.39019775390625,5395902894
2023-04-23,339.9941101074219,350.0722961425781,315.9021911621094,332.0133361816406,5456615522
2023-04-30,331.2458801269531,344.81683349609375,319.5908508300781,322.10662841796875,5477213588
2023-05-07,328.7242126464844,339.39166259765625,320.5791015625,322.7579650878906,4339766294
2023-05-14,313.9712219238281,322.4250183105469,301.5823974609375,311.0894470214844,3427021396
2023-05-21,313.5294189453125,316.3658142089844,306.478515625,310.7096252441406,2570867160
2023-05-28,309.2456359863281,315.2126770019531,301.8935546875,307.5807189941406,2749540554
2023-06-04,311.80718994140625,316.79559326171875,303.6445617675781,306.71844482421875,2681333261
2023-06-11,276.8892517089844,305.1672668457031,233.169189453125,239.08741760253906,5077972012
2023-06-18,231.0514373779297,251.63015747070312,222.0713348388672,244.59580993652344,4432573910
2023-06-25,242.9033660888672,256.22003173828125,231.9947509765625,236.6367645263672,3730119144
2023-07-02,236.13426208496094,248.4702606201172,226.9770965576172,247.78602600097656,3338974228
