Date,Open,High,Low,Close,Volume
2023-01-01,244.13697814941406,246.48580932617188,243.57528686523438,246.33290100097656,278651737
2023-01-02,245.53590393066406,247.71527099609375,241.69248962402344,244.1522216796875,357733262
2023-01-03,246.13336181640625,246.83145141601562,244.78404235839844,245.55213928222656,377452410
2023-01-04,259.11968994140625,260.51605224609375,245.70497131347656,246.14089965820312,632924961
2023-01-05,256.4228515625,259.07647705078125,255.5965576171875,259.07647705078125,342934041
2023-01-06,259.8671569824219,260.22174072265625,255.0677032470703,256.4501953125,417893264
2023-01-07,261.2828369140625,262.9636535644531,259.5932922363281,259.8548889160156,327712514
2023-01-08,274.38507080078125,274.38507080078125,260.51690673828125,261.2529296875,491734030
2023-01-09,272.7015380859375,283.0254211425781,271.8993835449219,274.44244384765625,783671054
2023-01-10,277.2896423339844,278.2676696777344,271.14984130859375,272.6551818847656,470259383
2023-01-11,285.0465087890625,285.1723937988281,274.5263977050781,277.29351806640625,466458216
2023-01-12,287.8123474121094,287.9513854980469,279.74102783203125,286.9006652832031,655903255
2023-01-13,293.7330017089844,295.2747802734375,285.19122314453125,287.8114929199219,561853825
2023-01-14,305.2411193847656,314.00335693359375,293.6006164550781,293.71966552734375,1087358891
2023-01-15,302.0706481933594,305.76385498046875,292.9245910644531,305.3287353515625,562889882
2023-01-16,298.9992370605469,307.5973815917969,294.18194580078125,302.0799865722656,602126315
2023-01-17,299.82452392578125,304.78814697265625,296.97479248046875,299.0591125488281,529752305
2023-01-18,286.9910583496094,304.8897705078125,282.63104248046875,299.8314514160156,844268123
2023-01-19,294.8522033691406,295.1185302734375,286.8704528808594,286.885498046875,431382130
2023-01-20,304.9731750488281,305.02093505859375,287.2264404296875,294.84552001953125,669836014
2023-01-21,299.26116943359375,309.6165771484375,299.0642395019531,305.0204772949219,755028964
2023-01-22,303.04644775390625,310.6024169921875,299.10357666015625,299.2391052246094,571771274
2023-01-23,305.50408935546875,307.42926025390625,302.3316955566406,303.02032470703125,520678637
